mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
1225.0,0.0732255,18.7227,0.0838,13.21
1230.0,0.0709683,18.7266,0.0812,13.24
1235.0,0.0688462,18.7544,0.0786,13.27
1240.0,0.0666928,18.8404,0.0762,13.31
1245.0,0.0646423,18.8414,0.0738,13.34
1250.0,0.0627027,18.9328,0.0715,13.38
1255.0,0.0607803,18.9693,0.0692,13.41
1260.0,0.0589319,18.9695,0.0671,13.45
1265.0,0.0571859,19.0561,0.065,13.48
1270.0,0.0554225,19.1806,0.063,13.51
1275.0,0.0536906,19.2452,0.061,13.55
1280.0,0.052051,19.2396,0.0591,13.58
1285.0,0.0504982,19.3577,0.0573,13.62
1290.0,0.0489404,19.4903,0.0556,13.65
1295.0,0.047474,19.5871,0.0539,13.69
1300.0,0.0460525,19.64,0.0522,13.72
1305.0,0.0447038,19.7627,0.0506,13.76
1310.0,0.0433373,19.8601,0.0491,13.79
1315.0,0.0420362,19.8634,0.0476,13.83
1320.0,0.0407723,19.9586,0.0461,13.86
1325.0,0.0395728,19.951,0.0447,13.9
1330.0,0.0383587,19.993,0.0434,13.94
1335.0,0.0372043,20.1012,0.0421,13.97
1340.0,0.0361694,20.2191,0.0408,14.01
1345.0,0.0350586,20.1714,0.0396,14.04
1350.0,0.0340187,20.3088,0.0384,14.08
1355.0,0.0330251,20.2807,0.0372,14.11
1360.0,0.0320787,20.3682,0.0361,14.15
1365.0,0.0311325,20.5466,0.035,14.19
1370.0,0.0302294,20.4724,0.034,14.22
1375.0,0.0292919,20.6217,0.033,14.26
1380.0,0.0284627,20.7773,0.032,14.3
1385.0,0.0276679,20.6729,0.031,14.33
1390.0,0.0268339,20.8251,0.0301,14.37
1395.0,0.0260313,20.7488,0.0292,14.4
1400.0,0.0252977,20.9163,0.0284,14.44
1405.0,0.0245679,21.0704,0.0275,14.48
1410.0,0.0238741,20.9586,0.0267,14.51
1415.0,0.0231433,21.1204,0.0259,14.55
1420.0,0.0225194,21.2481,0.0252,14.59
1425.0,0.0218959,21.4183,0.0244,14.63
1430.0,0.0211928,21.365,0.0237,14.66
1435.0,0.0206244,21.7574,0.023,14.7
1440.0,0.0200458,21.6629,0.0224,14.74
1445.0,0.0194648,21.5531,0.0217,14.77
1450.0,0.0188887,21.9548,0.0211,14.81
1455.0,0.018364,22.1266,0.0205,14.85
1460.0,0.0178858,22.0054,0.0199,14.88
1465.0,0.0173622,22.1916,0.0193,14.92
1470.0,0.0168403,22.3972,0.0187,14.96
1475.0,0.0163556,22.2173,0.0182,15.0
1480.0,0.0159386,22.3581,0.0177,15.03
1485.0,0.0154568,22.2281,0.0172,15.07
1490.0,0.0150345,22.4111,0.0167,15.11
1495.0,0.0146102,22.5293,0.0162,15.15
1500.0,0.0141903,22.7296,0.0157,15.18
1505.0,0.01377,22.9402,0.0153,15.22
1510.0,0.0133923,22.6528,0.0148,15.26
1515.0,0.0130286,23.2697,0.0144,15.3
1520.0,0.012649,23.0194,0.014,15.33
1525.0,0.0123374,23.1801,0.0136,15.37
1530.0,0.0119628,22.9449,0.0132,15.41
1535.0,0.0116378,23.1293,0.0128,15.45
1540.0,0.0113183,23.3535,0.0125,15.48
1545.0,0.0110039,23.456,0.0121,15.52
1550.0,0.0107027,23.4971,0.0118,15.56
1555.0,0.0103967,23.505,0.0115,15.6
1560.0,0.0101149,23.6723,0.0111,15.64
1565.0,0.00984079,23.7486,0.0108,15.67
1570.0,0.00956216,23.8011,0.0105,15.71
1575.0,0.00930893,23.8712,0.0102,15.75
1580.0,0.00905112,23.9145,0.00993,15.79
1585.0,0.00880102,24.088,0.00966,15.83
1590.0,0.00856388,24.1033,0.00939,15.87
1595.0,0.00832287,24.2052,0.00912,15.9
1600.0,0.00810078,24.2679,0.00887,15.94
1605.0,0.0078785,24.3322,0.00862,15.98
1610.0,0.00767087,24.4839,0.00838,16.02
1615.0,0.00745579,24.5137,0.00815,16.06
1620.0,0.00725443,24.569,0.00792,16.1
1625.0,0.00705942,24.6853,0.0077,16.13
1630.0,0.00687457,24.804,0.00749,16.17
1635.0,0.00668418,24.8672,0.00728,16.21
1640.0,0.00651001,24.9776,0.00708,16.25
1645.0,0.00633268,25.0679,0.00689,16.29
1650.0,0.00616072,25.138,0.0067,16.33
1655.0,0.00599673,25.2591,0.00651,16.37
1660.0,0.00583243,25.3829,0.00633,16.41
1665.0,0.00567868,25.5006,0.00616,16.45
1670.0,0.00553066,25.5203,0.00599,16.49
1675.0,0.00538094,25.5439,0.00583,16.53
1680.0,0.00523764,25.6602,0.00567,16.56
1685.0,0.00509647,25.8745,0.00551,16.6
1690.0,0.0049577,25.8847,0.00536,16.64
1695.0,0.00483094,26.0944,0.00521,16.68
1700.0,0.00470323,26.1021,0.00507,16.72
1705.0,0.0045807,26.2095,0.00493,16.76
1710.0,0.00445824,26.3238,0.0048,16.81
1715.0,0.0043369,26.3092,0.00467,16.85
1720.0,0.00422488,26.4093,0.00454,16.89
1725.0,0.00411276,26.513,0.00442,16.93
